confidence,brand,domain,source,other_candidates,slug,seller_page
high,Daily Objects,dailyobjects.com,gyftr,,daily-objects,https://www.gyftr.com/daily-objects
high,Daily Objects,dailyobjects.com,buyhatke,,daily-objects-gift-card,https://buyhatke.com/gift-cards/daily-objects-gift-card
high,Decathlon,decathlon.in,gyftr,,decathlon,https://www.gyftr.com/decathlon
high,Discord,discord.com,gyftr,,discord,https://www.gyftr.com/discord
high,Discovery Plus,discoveryplus.in,gyftr,,discovery-plus,https://www.gyftr.com/discovery-plus
high,Discovery Plus,discoveryplus.in,maximize,,discovery-plus,https://www.maximize.money/gift-cards/Discovery Plus/509
high,Discovery Plus,discoveryplus.in,buyhatke,,discovery-plus-gift-card,https://buyhatke.com/gift-cards/discovery-plus-gift-card
high,District,district.in,maximize,qwikcilver.com | zomato.com,district,https://www.maximize.money/gift-cards/District/956
high,District,district.in,buyhatke,,district-gift-card,https://buyhatke.com/gift-cards/district-gift-card
high,DocuBay,docubay.com,gyftr,,docubay,https://www.gyftr.com/docubay
high,Docubay,docubay.com,buyhatke,,docubay-gift-card,https://buyhatke.com/gift-cards/docubay-gift-card
high,Donatekart,donatekart.com,maximize,ndonatekart.com,donatekart,https://www.maximize.money/gift-cards/Donatekart/381
high,Donatekart,donatekart.com,buyhatke,ndonatekart.com,donatekart-gift-card,https://buyhatke.com/gift-cards/donatekart-gift-card
high,DPauls,dpauls.com,maximize,,dpauls,https://www.maximize.money/gift-cards/DPauls/812
high,Dpauls,dpauls.com,buyhatke,,dpauls-gift-card,https://buyhatke.com/gift-cards/dpauls-gift-card
high,EaseMyTrip,easemytrip.com,maximize,easemytrip.in,easemytrip,https://www.maximize.money/gift-cards/EaseMyTrip/384
high,EaseMyTrip,easemytrip.com,buyhatke,,easemytrip-gift-card,https://buyhatke.com/gift-cards/easemytrip-gift-card
high,EatSure,eatsure.com,gyftr,,eatsure,https://www.gyftr.com/eatsure
high,EatSure,eatsure.com,maximize,,eatsure,https://www.maximize.money/gift-cards/EatSure/616
high,EatSure,eatsure.com,buyhatke,,eatsure-gift-card,https://buyhatke.com/gift-cards/eatsure-gift-card
high,EazyDiner,eazydiner.com,gyftr,,eazydiner,https://www.gyftr.com/eazydiner
high,Elivaas,elivaas.com,gyftr,,elivaas,https://www.gyftr.com/elivaas
high,Elivaas,elivaas.com,maximize,,elivaas,https://www.maximize.money/gift-cards/Elivaas/1035
high,Elver,elver.in,maximize,,elver,https://www.maximize.money/gift-cards/Elver/513
high,Elver,elver.in,buyhatke,,elver-gift-card,https://buyhatke.com/gift-cards/elver-gift-card
high,Estele,estele.co,gyftr,,estele,https://www.gyftr.com/estele
high,Estele,estele.co,maximize,,estele,https://www.maximize.money/gift-cards/Estele/514
high,Estele,estele.co,buyhatke,,estele-gift-card,https://buyhatke.com/gift-cards/estele-gift-card
high,Euphoria Jewellery,euphoriajewellery.in,buyhatke,,euphoria-jewellery-gift-card,https://buyhatke.com/gift-cards/euphoria-jewellery-gift-card
high,ExitLag,exitlag.com,gyftr,,exitlag,https://www.gyftr.com/exitlag
high,Fab Hotels,fabhotels.com,gyftr,,fab-hotels,https://www.gyftr.com/fab-hotels
high,Fab Hotels,fabhotels.com,buyhatke,,fab-hotels-gift-card,https://buyhatke.com/gift-cards/fab-hotels-gift-card
high,Femmella,femmella.com,gyftr,,femmella,https://www.gyftr.com/femmella
high,Femmella,femmella.com,maximize,,femmella,https://www.maximize.money/gift-cards/Femmella/718
high,Femmella,femmella.com,buyhatke,,femmella-gift-card,https://buyhatke.com/gift-cards/femmella-gift-card
high,Finusmart,finusmart.com,buyhatke,,finusmart-gift-card,https://buyhatke.com/gift-cards/finusmart-gift-card
high,First Cry,firstcry.com,buyhatke,,first-cry-gift-card,https://buyhatke.com/gift-cards/first-cry-gift-card
high,FirstCry,firstcry.com,gyftr,,firstcry,https://www.gyftr.com/firstcry
high,FirstCry,firstcry.com,maximize,,firstcry,https://www.maximize.money/gift-cards/FirstCry/350
high,Flipkart,flipkart.com,gyftr,,flipkart,https://www.gyftr.com/flipkart
high,FlixBus,flixbus.in,buyhatke,,flixbus-gift-card,https://buyhatke.com/gift-cards/flixbus-gift-card
high,Flower Aura,floweraura.com,gyftr,,flower-aura,https://www.gyftr.com/flower-aura
high,Flower Aura,floweraura.com,maximize,,flower-aura,https://www.maximize.money/gift-cards/Flower Aura/516
