brand,domain,sellers,how_decided
EaseMyTrip,easemytrip.com,buyhatke;maximize,auto: name in address
EaseMyTrip Holiday,easemytrip.com,buyhatke;gyftr;maximize,auto: name in address
EaseMyTrip Hotel,easemytrip.com,buyhatke;maximize,auto: name in address
EatSure,eatsure.com,buyhatke;gyftr;maximize,checked by hand
EazyDiner,eazydiner.com,gyftr,auto: name in address
EazyDiner,b.ezyd.in,buyhatke,checked by hand
Elivaas,elivaas.com,gyftr;maximize,auto: name in address
Elver,elver.in,buyhatke;maximize,auto: name in address
Epic On 1 month Plan,epicon.in,buyhatke,auto: name in address
Epic On 1 Year Plan,epicon.in,buyhatke,auto: name in address
Epic On 3 month Plan,epicon.in,buyhatke,auto: name in address
Epic On 6 month Plan,epicon.in,buyhatke,auto: name in address
Estele,estele.co,buyhatke;gyftr;maximize,auto: name in address
ET Prime,economictimes.indiatimes.com,buyhatke,checked by hand
Euphoria Diamond,euphoriajewellery.in,maximize,auto: name in address
Euphoria Diamond Jewellery,euphoriajewellery.in,buyhatke,auto: name in address
Euphoria Gold Coin,euphoriajewellery.in,buyhatke;maximize,auto: name in address
Euphoria Gold Jewellery,euphoriajewellery.in,buyhatke,auto: name in address
Euphoria Jewellery,euphoriajewellery.in,buyhatke,auto: name in address
Euphoria Jewellery Gold Coin,euphoriajewellery.in,buyhatke;gyftr,auto: name in address
Euphoria Jewellery Silver Coin,euphoriajewellery.in,buyhatke;gyftr;maximize,auto: name in address
Euphoria Silver Coin,euphoriajewellery.in,buyhatke,auto: name in address
ExitLag,exitlag.com,gyftr,auto: name in address
Fab Hotels,fabhotels.com,buyhatke;gyftr,auto: name in address
Fastrack SmartWatch (1 Day Wait),titan.co.in,buyhatke,checked by hand
Femmella,femmella.com,buyhatke;gyftr;maximize,auto: name in address
Ferns N Petals,fnp.com,buyhatke;gyftr;maximize,checked by hand
Finusmart,finusmart.com,buyhatke,auto: name in address
First Cry,firstcry.com,buyhatke;gyftr;maximize,auto: name in address
Flipkart,flipkart.com,gyftr,auto: name in address
Flipkart - (Custom),flipkart.com,maximize,auto: name in address
FlixBus,flixbus.in,buyhatke,auto: name in address
Flower Aura,floweraura.com,buyhatke;gyftr;maximize,auto: name in address
Forever New,forevernew.co.in,buyhatke;maximize,auto: name in address
Foxtale,foxtale.in,buyhatke;gyftr;maximize,auto: name in address
Freecultr,freecultr.com,gyftr,auto: name in address
French Accent,getfrenchaccent.com,buyhatke;gyftr,auto: name in address
FRIDO,myfrido.com,buyhatke;gyftr;maximize,auto: name in address
FUTURE WORLD - APPLE RESELLER,futureworldindia.co.in,gyftr,auto: name in address
Future World Apple,futureworldindia.in,buyhatke,auto: name in address
Gaana,gaana.com,buyhatke;gyftr,auto: name in address
GIVA Silver Coin,giva.co,gyftr;maximize,auto: name in address
GIVA Silver Coin (Custom),giva.co,maximize,auto: name in address
GIVA Silver jewellery,giva.co,gyftr;maximize,auto: name in address
Global Desi,globaldesi.in,buyhatke,auto: name in address
GoBaby Travel,gobabytravel.com,buyhatke,auto: name in address
Goibibo,goibibo.com,buyhatke,auto: name in address
GoIbibo Hotel,goibibo.com,buyhatke;maximize,auto: name in address
Hammer,hammeronline.in,buyhatke;gyftr;maximize,auto: name in address
Haute Sauce,buyhautesauce.com,buyhatke;gyftr,auto: name in address
