"Merchant","Category","Campaign Type","Payout Structure","Campaign Status","Tracking Link"
"Amydus","Fashion","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.amydus.com/"
"Angel One App","Banking & Finance","CPL","Flat ₹288 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.angelone.in/register/"
"Apollo Pharmacy","Medical & Healthcare","CPS","Upto ₹168 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.apollopharmacy.in/"
"AppSumo","Online Services","CPS","Upto 56% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://appsumo.com/"
"Aramya","Fashion","CPS","Upto 13.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://aramya.in/collections/latest-kurti-collection-onsale"
"Asaya","Health & Beauty","CPS","Flat 24% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://worldofasaya.com/collections/offers"
"Asian Paints","Others,Home & Kitchen","CPL","Flat ₹120 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.asianpaints.com/"
"Asus","Electronics","CPS","Upto 2.05% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.asus.com/in/store/"
"AU Bank Credit Card","Banking & Finance","CPA","Flat ₹360 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://cconboarding.aubank.in/auccself/#/landing"
"Axis Bank CC","Banking & Finance","CPL","Upto ₹1725 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://web.axis.bank.in/DigitalChannel/WebForm/"
"Axis DSA","Banking & Finance,Online..","CPA","Upto ₹520 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://leap.axis.bank.in/"
"Axis MF","Banking & Finance","CPA","Upto  ₹360 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.axismf.com/micro-investing"
"Ayurvedic Source","Health & Beauty","CPS","Flat 24% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://ayurvedic-source.com/"
"Aza","Fashion","CPS","Flat 3.2% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.azafashions.com"
"Baby Forest","Baby & Kids","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.babyforest.in/"
"Baby Shop","Baby & Kids","","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=&url=https://www.babyshop.in/in/en/"
"Bacca Bucci","Fashion","CPS","Flat 8.16% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://baccabucci.com/"
"Bagline","Fashion","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bagline.com/"
"Bajaj Demat ","Banking & Finance","CPL_LEAD","Flat ₹104 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl_lead&url=https://pwa.bajajfinservsecurities.in/"
"Bajaj FD","Banking & Finance","CPA","Flat 4% / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.bajajfinserv.in/investments/fixed-deposit-application-form"
"Bajaj Finserv Insta EMI Card","Banking & Finance","CPL_LEAD","Flat ₹200 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl_lead&url=https://www.bajajfinserv.in/insta-emi-network-card-apply-online"
"Bajaj Health Insurance","Banking & Finance","CPL_LEAD","Flat 85% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl_lead&url=https://www.bajajgeneralinsurance.com/health-insurance-online/product"
"Banggood","Electronics,Fashion","CPS","Upto 10.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.banggood.in"
"Bata","Fashion","CPS","Upto 11.21% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bata.in/"
"Bath&Bodyworks","Health & Beauty","CPS","Flat 3.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bathandbodyworks.in/"
"BearHouse","Fashion","CPS","Flat 10.55% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://thebearhouse.com/"
"Beatxp","Electronics,Health & Beau..","CPS","Upto 5.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.beatxp.com/"
"Beco","Home & Kitchen","CPS","Flat 16% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.letsbeco.com/"
"Beepkart (Sell)","Automobiles","CPA","Flat ₹280 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://beepkart.com/sell-used-bikes/bangalore/eng"
"Beyoung","Fashion","CPS","Flat 7.68% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.beyoung.in"
"Beyours","Fashion","CPS","Flat 10.2% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.beyours.in/"
"Bharat Loan","Banking & Finance","CPL","Upto  ₹24 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.bharatloan.com/apply-now"
"BHIM UPI CPR","Banking & Finance","CPR","Upto  ₹3.5 / Register
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://www.bhimupi.org.in/"
"BigMuscle Nutrition","Sports & Fitness","CPS","Flat 3.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bigmusclesnutrition.com//"
"Bigrock","Domain & Hosting","CPS","Upto ₹800 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bigrock.in/"
"Biotique","Health & Beauty","CPS","Flat 32% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.biotique.com"
"Bisleri","Food & Grocery","CPS","Flat 28.8% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bisleri.com/product-listing/vedica"
"Blackberrys","Fashion","CPS","Flat 8.64% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://blackberrys.com/"
"Bluehost","Domain & Hosting","CPS","Upto ₹57600 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bluehost.in/"
"boAt","Electronics","CPS","Flat 5.61% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.boat-lifestyle.com/"
"BOB Lifetime Free Card","Banking & Finance","CPL","Flat ₹1120 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://mycard.bobcard.tech/splash-screen"
"Bookchor","Books","CPS","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bookchor.com/"
"BookVip.com","Travel","CPS","Flat 28% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.bookvip.com"
"Brillare","Health & Beauty","CPS","Flat 24% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.brillare.co.in/"
"Brooks Brothers","Fashion","CPS","Flat 5.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://brooksbrothers.in/"
