"Merchant","Category","Campaign Type","Payout Structure","Campaign Status","Tracking Link"
"Emami Zanducare","Health & Beauty","CPS_EMAMI","Flat 18.49% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps_emami&url=https://zanducare.com/"
"Emergency Paisa","Banking & Finance","CPL","Flat 3.2% / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://emergencypaisa.com/"
"Envato Elements","Online Services","CPS","Upto ₹6624 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://elements.envato.com/"
"Equitas Bank Saving","Banking & Finance","CPA","Flat ₹260.1 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://inet.equitasbank.com/Selfe/"
"Eske","Fashion","CPS","Flat 13.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://eske.in/"
"Espresso","Banking & Finance","CPA","Flat ₹600 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://espresso.dematonline.com/"
"Etihad Airways","Travel","CPS","Flat 0.67% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.etihad.com/en-ae/"
"ExpressVPN","Others","CPS","Upto ₹2124.85 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.expressvpn.com/"
"Farmrooter","Online Services","CPS","Flat 15% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://farmrooter.com/"
"Federal Bank Credit Card","Banking & Finance","CPA","Flat ₹900 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://creditcards.federalbank.co.in"
"Ferns N Petals","Flowers & Gifts","CPS","Upto 7.2% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.fnp.com"
"Fibe CPR","Banking & Finance","CPR","Upto  ₹24 / Register
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://portal.fibe.in/new-check-credit-score-free"
"Firstcry","Baby & Kids","CPS","Upto ₹32 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.firstcry.com/"
"Fiverr","Online Services","CPA","Upto ₹8280 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.fiverr.com"
"Fiverr Hybrid","Online Services","CPA_HYBRID","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa_hybrid&url=https://www.fiverr.com"
"Fiverr Learn","Education","CPA","Flat 24% / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.fiverr.com/"
"Flot","Banking & Finance","CPR","Flat ₹20 / Register
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://myflot.com/"
"Floweraura","Gifting & Toys","CPS","Upto 10.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.floweraura.com"
"Forest Essentials","Health & Beauty","CPS","Flat 16.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.forestessentialsindia.com/"
"Fuel One","Sports & Fitness","CPS","Flat 3.04% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.fuelone.in/"
"Fully Filmy","Fashion","CPS","Flat 16% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://fullyfilmy.in/"
"Furlenco","Home & Kitchen","CPS","Flat ₹440 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.furlenco.com/rent"
"Geekbuying","Electronics","CPS","Flat 4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.geekbuying.com/"
"GetyourGuide","Travel","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.getyourguide.com/"
"Gharsoaps","Health & Beauty","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.gharsoaps.shop/collections/best-seller"
"Go City","Travel","CPS","Flat 4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://gocity.com/en"
"Go24 Bottles","Home & Kitchen","CPS","Flat 5.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.go24bottles.com/"
"Godaddy","Domain & Hosting","CPS","Upto 5.6% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.godaddy.com/en-in/offers/generic/30off"
"Godrej Interio","Home & Kitchen","CPS","Flat 4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://interio.com/"
"GoEYE","Fashion","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://goeye.in/"
"Goibibo (Flights)","Travel","CPS","Upto ₹160 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.goibibo.com/flights/"
"Goibibo (Hotels)","Travel","HOTEL","Upto ₹288 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=hotel&url=https://www.goibibo.com/hotels/"
"GoStops","Travel","CPS","Flat 8.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://gostops.com/stay/home"
"Gritzo","Food & Grocery","CPS","Flat 7.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://gritzo.com/"
"Groww App","Banking & Finance,Online..","CPA","Flat ₹160 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://groww.in"
"Guvi","Education","CPS","Upto 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.guvi.in/"
"H&M","Fashion","CPS","Upto 4.03% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www2.hm.com/en_in/index.html"
"HaldiramsOnline","Food & Grocery","CPS","Flat 5.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://haldirams.com/"
"Hamercop","Fashion","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://hamercop.com/"
"Hamleys","Baby & Kids,Gifting & Toy..","CPS","Flat  5.04%  / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hamleys.in/"
"Hammer","Electronics","CPS","Flat 5.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://hammeronline.in/"
"Haus & Kinder","Home & Kitchen","CPS","Flat 8.16% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://hausandkinder.com/"
"Havells","Electronics","CPS","Flat 2.04% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://havells.com/"
"HDFC Ergo Car Insurance","Automobiles","CPS","Flat 40% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hdfcergo.com/"
"HDFC Pixel Card","Banking & Finance","CPA","Flat ₹1960 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://applyonline.hdfcbank.com/cards/credit-cards.html"
"HDFC Sky","Banking & Finance","CPA","Upto ₹520 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://hdfcsky.com/sem"
"Hdfc Tata Neu CC","Banking & Finance","CPL","Flat ₹1120 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://applyonline.hdfcbank.com/cards/credit-cards.html"
"Healthkart","Sports & Fitness","CPS","Upto 5.04% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.healthkart.com/"
"Himalaya SkinCare","Health & Beauty","CPS","Flat 22.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://himalayawellness.in/pages/search-results-page"
"HK Vitals","Health & Beauty","CPS","Flat 15.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hkvitals.com/"
"HOK Makeup","Health & Beauty","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hokmakeup.com/"
"Homestyler","Home & Kitchen","CPS","Upto 20.8% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.homestyler.com/solution/design_floor-planner"
"Hong's Kitchen","Food & Grocery","CPS","Flat ₹288 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://hongskitchen.in"
"HostGator","Domain & Hosting","CPS","Upto ₹2250 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hostgator.in"
"Hostinger","Domain & Hosting","CPS","Flat 48.02% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.hostinger.com/in"
"Hostpapa","Domain & Hosting","CPA","Flat ₹2520 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.hostpapa.com/"
"HSBC Credit Card","Banking & Finance","CPA","Flat ₹2400 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.accountopening.hsbc.co.in/credit-cards/"
"HyugaLife","Health & Beauty","CPS","Upto 7.92% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://hyugalife.com/"
"Iba Cosmetics","Health & Beauty","CPS","Flat 12.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://ibacosmetics.com/"
"ICICI Credit Card","Banking & Finance","CPA","Flat ₹1200 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://campaigns.icicibank.com/credit-card/platinumCreditCard/index.html"
"ICICI Lombard (Bike)","Automobiles","CPL_SALE","Flat 26% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl_sale&url=https://www.icicilombard.com/motor-insurance/two-wheeler-insurance"
"ICICI Lombard (Car)","Banking & Finance","CPA","Flat 32% / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.icicilombard.com/motor-insurance/car-insurance"
"IDFC Bank - CC","Banking & Finance","CPA","Upto ₹900 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.idfcfirstbank.com/credit-card/ntb-diy/apply"
"IDFC SA","Banking & Finance","CPA","Upto ₹1200 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://digital.idfcfirst.bank.in/apply/savings"
"iHerb","Health & Beauty","CPS","Upto 4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://in.iherb.com"
"Indian Gifts Portal","Gifting & Toys","CPS","Flat 7.92% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.igp.com/"
"Indie By Indusind Bank App","Banking & Finance","CPA","Flat ₹510 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.indusind.com/in/en/personal/accounts/saving-account.html"
"Indusind Credit Card","Banking & Finance","CPA","Flat ₹1520 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://induseasycredit.indusind.bank.in/"
"Indusind Saving Account","Banking & Finance","CPL","Flat ₹720 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://myaccount.indusind.bank.in/savingsaccount/index.aspx"
"Industrybuying","Home & Kitchen","CPS","Upto 7.28% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.industrybuying.com/"
"Inmotion Hosting","Domain & Hosting","CPA","Upto 35.7% / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.inmotionhosting.com/"
"Instamoney","Banking & Finance","CPA","Upto  ₹70 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.instamoney.app/"
"Instax","Electronics","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.instax.in/collections/shop-all"
"IRCTC","Travel","CPS","Upto 4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.irctc.co.in/nget/train-search"
"ITA Airways","Travel","CPS","Upto 3.98% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.ita-airways.com/us/en/homepage"
"iThemes","Domain & Hosting","CPS","Flat 15% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://solidwp.com/"
"Jack&Jones Junior","Baby & Kids","CPS","Flat 8.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.jackjonesjunior.in/"
"Jaypore","Fashion","CPS","Flat 8.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.jaypore.com/c/eoss-2025"
"JBL","Electronics","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://in.jbl.com/"
"JioMart","Food & Grocery","CPS","Flat ₹120 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.jiomart.com/"
"Jivisa","Health & Beauty","CPS","Flat 41.44% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://jivisa.in/"
"Jockey","Fashion","CPS","Flat 12% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.jockey.in"
"Jupiter CSB Edge+ RuPay CC","Banking & Finance","CPA","Upto ₹1280 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://web.jupiter.money/rupay-csb/web-ob/landing"
"Kama Ayurveda","Health & Beauty","CPS","Flat 17.5% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.kamaayurveda.in"
"Kapiva","Food & Grocery,Health & B..","CPS","Upto 14.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://kapiva.in/shop-all/"
"Kent RO","Home & Kitchen","CPL","Flat ₹60 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.kentaffiliate.com"
"Kerala Ayurveda","Health & Beauty","CPS","Flat 21.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://keralaayurveda.com"
"KFC Delivery","Food & Grocery","CPS","Flat ₹36 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://online.kfc.co.in/menu"
"Kids Only","Baby & Kids","CPS","Flat 8.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.kidsonly.in/"
"Kiehl's ","Fashion,Health & Beauty","CPS","Flat 40% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://kiehls.in/"
"Kindlife","Health & Beauty","CPS","Flat 13.68% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.kindlife.in/"
"Kiro Beauty","Health & Beauty","CPS","Flat 32% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://kirobeauty.com/collections/all"
"Klook","Travel","CPS","Upto 3.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.klook.com/"
"Knowledgehut ","Education","CPS","Flat 10.01% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.knowledgehut.com/"
"Koskii","Fashion","CPS","Flat 10% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.koskii.com/"
"Kotak 811","Banking & Finance","CPL","Flat ₹400 / Lead
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://www.kotak811.com"
"Kotak 811 Super Account","Banking & Finance","CPA","Flat ₹960 / Action
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://www.kotak811.com"
"Kotak Credit Card","Banking & Finance,Banking..","CPA","Flat ₹1064 / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://cards.kotak.com/card-details?productLogo=785&channelCode=SF96&feeCode=111"
"Kotak Express","Banking & Finance","CPL","Flat ₹803 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://kapps.kotak.com/kotakXpress/xpress/xpress-home.action"
"KredBharat","Banking & Finance","CPR","Flat ₹16 / Register
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpr&url=https://lending.kredbharat.com/"
"Kreditbee","","CPA","Upto  5.6% / Action
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpa&url=https://app.appsflyer.com/com.kreditbee.android"
"Krishna's Herbal & Ayurveda","Health & Beauty","CPS","Flat 11.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://krishnaayurved.com"
"Kuku FM","Entertainment","CPS","Flat ₹25 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://kukufm.com/"
"Kurlon","Home & Kitchen","CPS","Flat 9.6% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://kurlon.com"
"Lastpass","Software","CPS","Flat 17% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.lastpass.com/"
"Lavie World","Fashion","CPS","Flat 24% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=http://www.lavieworld.com"
"Lenovo","Electronics","CPS","Upto 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.lenovo.com/in/en/"
"Levis","Fashion","CPS","Flat 10.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://levi.in/collections/new-arrivals"
"Libas","Fashion","CPS","Flat 6.8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.libas.in/"
"Licious App","Food & Grocery","CPS","Flat ₹240 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.licious.in"
"Lifelong India Online","Baby & Kids,Home & Kitche..","CPS","Flat 14% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.lifelongindiaonline.com/"
"Linenclub","Fashion","CPS","Flat 8% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.linenclub.com/"
"Liva","Fashion","CPS","Flat 4.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.livabybirlacellulose.com/consumer/buy-liva"
"Loopearplugs","Electronics","CPS","Flat 14% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://loopearplugs.in/"
"Lotto Sport","Fashion","CPS","Flat 6.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://lottosport.in/"
"Lunaer World","Health & Beauty","CPS","Flat 15.2% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.lunaerworld.com/apps/qe/gbb/3902"
"Mahindra University OTP Lead","Education","CPL","Flat ₹12 / Lead
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cpl&url=https://admission.mahindrauniversity.edu.in/"
"Makemytrip (Domestic Hotels)","Travel","HOTEL","Flat ₹144 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=hotel&url=https://www.makemytrip.com/hotels/"
"Makemytrip (Int Hotels)","Travel","INTERNATIONL_HOTEL","Flat ₹200 / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=internationl_hotel&url=https://www.makemytrip.com/hotels-international/"
"Makemytrip(Domestic Flights)","Travel","CPS","Flat ₹104 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.makemytrip.com/flights"
"Makemytrip(Int Flight)","Travel","INTERNATIONL_FLIGHT","Flat ₹160 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=internationl_flight&url=https://www.makemytrip.com/international-flights/"
"Malaysia Airlines","Travel","CPS","Upto 1.28% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.malaysiaairlines.com/my/en/home.html"
"Man Matters","Health & Beauty","CPS","Flat 22.4% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://manmatters.com/"
"Marks and Spencer","Fashion","CPS","Flat 18.55% / Sale
                            
                            Visit Store 
                            More Details","ACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.marksandspencer.in/"
"Max Life Insurance","Online Services","CPS","Upto  80% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.maxlifeinsurance.com/term-insurance-plans/premium-calculator"
"mCaffeine","Health & Beauty","CPS","Flat 14.4% / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps&url=https://www.mcaffeine.com/collections/special-offer"
"McDonalds App","Food & Grocery","CPS_APP","Upto ₹48 / Sale
                            
                            Visit Store 
                            More Details","INACTIVE","https://inr.deals/track?id=med579083413&src=merchant-backend&campaign=cps_app&url=https://mcdindia.com/"
