Brand Name,Slug,Redemption Type,Discount % (Credit/Debit Card),Discount % (Net Banking),Discount % (UPI),Discount % (Paytm UPI),Discount % (Amazon Pay),Denominations Available,Online/Offline,How to Redeem,T&Cs Summary
MakeMyTrip e-Pay,makemytrip-e-pay,ON,4,,7.5,7.5,4,500 / 1000 / 2000 / 5000 / 10000,Online,,"Gift Vouchers/e-Pay CAN be used on the MakeMyTrip website and app. Gift Vouchers/e-Pay CAN be used to book Flights, Buses, Cabs, Hotels & Holiday Packages. Gift Vouchers/e-Pay CANNOT be used for Tours & Attractions, Visa, Cruise, Forex Card & Currency, and Travel Insurance. Gift Vouchers/e-Pay CANNOT be clubbed with offers. A maximum of 3 Gift Vouchers CAN be used in 1 booking. Gift Vouchers/e-Pay CAN be used for bookings made through myBiz."
MakeMyTrip Holiday e-Pay,makemytrip-holiday-e-pay,ON,11.5,11.5,13.5,13.5,11.5,1000 / 5000 / 10000,Online,,"Gift Vouchers/e-Pay CAN be used on the MakeMyTrip website and app. Gift Vouchers/e-Pay CAN be used to book Holiday Packages only. Gift Vouchers/e-Pay CANNOT be used for Flights, Hotels, Buses, Trains, Cabs, Tours & Attractions, Visa, Cruise, Forex Card & Currency, and Travel Insurance. Gift Vouchers/e-Pay CANNOT be clubbed with offers. A maximum of 3 Gift Vouchers CAN be used in 1 booking. Gift Vouchers/e-Pay CAN be used for bookings made through myBiz."
MakeMyTrip Hotel e-Pay,makemytrip-hotel-e-pay,ON,12.5,12.5,14.5,14.5,12.5,1000 / 2000 / 5000 / 10000,Online,,"Gift Vouchers/e-Pay CAN be used on the MakeMyTrip website and app. Gift Vouchers/e-Pay CAN be used to book Hotels only. Gift Vouchers/e-Pay CANNOT be used for Flights, Holidays, Buses, Trains, Cabs, Tours & Attractions, Visa, Cruise, Forex Card & Currency, and Travel Insurance. Gift Vouchers/e-Pay CANNOT be clubbed with offers. A maximum of 3 Gift Vouchers CAN be used in 1 booking. Gift Vouchers/e-Pay CAN be used for bookings made through myBiz."
Reliance Jio Mart,reliance-jio-mart,ON,0,0,0,,,250 / 750 / 1000 / 1500,Online,,Multiple vouchers CANNOT be used in one transaction The GV/GC can be redeemed only once. Any unused amount will lapse. This GV CANNOT be used on 3P products (Third party products listed on Jio Mart Platform) This Gift Voucher is not valid on purchase of Gold/Silver Coins and fine jewellery.
Cult Gift Card,cult-gift-card,ON,2,2,2,2,,250 / 1000 / 1500 / 2000 / 2500,Online,,"The GV/GC can be redeemed only on the Cult App and not on the Cult store or Cult website. GV/GC can be redeemed only once per user. Once you redeem your gift card, The gift card balance will be credited to the wallet provided by cult which can be used for multiple purchases until the balance is exhausted or the gift card has expired. Valid only for fitness memberships; not applicable on wellness services (Dietician/Health Checkups/Sugar.fit) or products from the Cult Store."
Mamaearth,mamaearth,ON,13,13,15,15,13,,Online,,This E-Gift Cards are valid only at mamaearth.in (website). E-Gift Card cannot be exchanged for Cash / Mama Cash. This E-Gift Vouchers once issued cannot be returned/refunded. No additional offer will be clubbed with the gift cards redemption. Gift cards are not applicable at Offline Stores.
Marks & Spencer,marks-&-spencer,B,9,,10,10,,1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Both,,"Gift Vouchers are ACCEPTED on the website, app, and all listed outlets. Gift Vouchers CAN be used during Sale. More than one GV / GC can be used in one bill. Once the Vouchers are added to e-Pay online, they cannot be used in Retail Stores."
Fashion Factory,fashion-factory,OFF,3,,5,5,,500 / 1000 / 2000 / 3000 / 5000,Offline,,Gift Vouchers CAN be used to buy discounted products Multiple Gift Vouchers CAN be used in one bill Gift Vouchers CANNOT be used online
Muthoot Gold Voucher,muthoot-gold-voucher,ON,1,,2,2,,2000 / 5000,Online,,This is a Muthoot Exim GV/GC (Gift Voucher/Gift Card) that will be accepted only on the website. GV/GC CAN be clubbed with existing offers. The GV/GC CANNOT be encashed. A maximum of 5 GV/GCs CAN be used in one bill.
Woggles,woggles,ON,19,,20,20,,100-10000 (custom),Online,,This is a Woggles e-Pay Gift Voucher (GV) / Gift Card (GC) and would be accepted on the website at www.woggles.in Multiple Woggles e-Pay GV/GCs can be used against one bill/transaction. Woggles e-Pay GV/GC can be used multiple times until the e-Pay balance gets exhausted. Woggles e-Pay GVs can be clubbed with existing offers.
INTERMILES,intermiles,ON,0,0,0,,0,,Online,,"Gift Vouchers CAN be used at website & on app. Users can redeem upto 50% of their Miles per transaction. Once the voucher gets added, it can be utilized till the balance gets exhausted."
Shopy Vision,shopy-vision,ON,0,0,0,,0,500 / 1000 / 5000,Online,,This is a Shopy Vision Gift Voucher (GV) and would be accepted on their website. Only 1 GV can be used in one bill/transaction. No credit note/refund for the unused balance amount of the GV will be given. More than one GV/GC cannot be clubbed in a single order. GV/GC cannot be clubbed with any other coupon or voucher.
GRT Jewellers,grt-jewellers,OFF,0,0,0,,,1000 / 2500 / 5000 / 10000 / 100-10000 (custom),Offline,,This is a GRT Gift Voucher (GV) and would be accepted on all the outlets listed at grtjewels.com/storelocator GV/GC can be clubbed with ongoing promotions/offers. Multiple GV/GCs can be used against one bill/transaction. This is a one-time use GV/GC with an expiration date. The GV/GC cannot be encashed.
Bakingo,bakingo,ON,18,18,20,20,,250 / 500 / 1000,Online,,Only one Gift Voucher CAN be used against one bill. Gift Vouchers CANNOT be used multiple times. Gift Vouchers CANNOT be used directly at Bakingo stores. GV/GC cannot be clubbed with other offers on the Bakingo website.
Flower Aura,flower-aura,ON,18,18,20,20,20,500 / 1000 / 2000,Online,,Only one GV/GC CAN be used against one bill. This is a one-time use GV/GC. Gift Vouchers CANNOT be used directly at Flower Aura stores. GV/GC CANNOT be clubbed with existing offers
Quick Heal,quick-heal,ON,25,25,25,25,25,,Online,,The Gift Voucher/Gift Card (GV/GC) would only be accepted on the official website. Only One GV/GC can be used for one subscription GV/GC CANNOT be clubbed with existing offers This is a one-time use GV/GC with an expiration date
Ixigo,ixigo,ON,7,7,8.5,8.5,,500 / 1000 / 2000,Online,,Gift Vouchers CAN be used at ixigo website & on app. GV/GC cannot be clubbed with existing offers. This is a one-time use GV/GC. Only ONE/SINGLE voucher can be used in one bill/transaction.
VROTT,vrott,ON,42,42,42,42,42,599,Online,,Gift Vouchers CAN Only be used at https://vrott.tv/ and their app. Only 1 Gift Voucher can be used in one transaction. This is a ONE time use GV/GC with an expiration date.
DPauls Travel & Tours,dpauls-travel-&-tours,ON,0,0,0,,0,2000 / 5000 / 10000,Online,,You can redeem only 1 Gift Card for Flight Booking. You can redeem only 3 Gift Cards for Package/ Holiday Bookings. This Gift Voucher is a One-time use Gift Voucher. Gift Vouchers CAN be used Online only at the website.
Amazon Fresh,amazon-fresh,ON,0,,1.5,1.5,,500 / 1000 / 2000,Online,,"Gift Vouchers CAN only be used Online at www.amazon.in/fresh. Gift Vouchers CANNOT be transferred for value or redeemed for cash. Please visit to check if your pin code is eligible for Amazon Fresh deliveries. Credit and Debit Cards issued outside India CANNOT be used to purchase Amazon Fresh Vouchers. Amazon Vouchers (including Amazon Shopping Voucher, Amazon Prime Voucher and Amazon Fresh Voucher) are not eligible for use on Amazon Business marketplace effective 15th November ’23. Amazon Fresh Voucher GV/GC must be used only towards the purchase of eligible products mentioned above, on www.amazon.in/fresh only."
Campus,campus,B,9,,10,10,9,500 / 1000 / 2000 / 100-10000 (custom),Both,,This is a Campus Gift Voucher (GV)/e-Pay can be accepted Online & at listed stores. Multiple GV/GCs can be used against one bill/transaction by adding it to the e-Pay balance. The GV/GC cannot be encashed.
BPCL SmartDrive Fuel e-voucher,-bpcl-,OFF,0,0,0,,,250 / 500 / 1000 / 2000,Offline,,This BPCL Fuel Voucher can only be redeemed by adding it to SmartDrive in the “HelloBPCL” mobile application. Multiple Fuel Vouchers can be added to SmartDrive and partial balance can be used from smart drive wallet. This BPCL Fuel Voucher is valid against the purchase of Fuel only.
Amazon Prime Membership,amazon-prime-membership,ON,10,10,10,10,,399 / 799,Online,,"Amazon Prime Vouchers cannot be claimed on Amazon Business accounts. Amazon Prime Voucher cannot be used to purchase Prime membership plans if customer has telecom provider (Airtel, VI, Jio etc.) activated Prime membership on the same Amazon account. Customers can add a maximum balance of INR 1799 to their Amazon Prime voucher balance. Amazon Prime membership activated via Amazon Prime voucher can't be cancelled and is non-refundable."
