Brand Name,Slug,Redemption Type,Default Discount %,Best Discount %,Payment Method for Best Discount,Denominations Available,Online/Offline,T&Cs Summary
Zepto,zepto,ON,0,0,,,Online,The GV/GC would only be accepted on the Zepto mobile app and on www.zeptonow.com More than one GV/GC
Steam Wallet,steam-wallet,ON,2,2,PAYTM UPI,175 / 250,Online,GV/GC and can be redeemed only at https://store.steampowered.com/games/. Multiple GVs can be combine
Valorant,valorant,ON,3,3,PAYTM UPI,435 / 475 / 870 / 950,Online,GV/GC and can be redeemed only at https://www.riotgames.com/en. GV/GC cannot be combined with any ot
DUROFLEX,duroflex,ON,11,11,PAYTM UPI,1000 / 2500 / 5000 / 7500 / 10000,Online,The GV/GC can be used online at https://www.duroflexworld.com/. Multiple GVs can be combined and add
Nat Habit,nat-habit,ON,22,22,Credit Card,500 / 1000 / 2000 / 100-10000 (custom),Online,The GV/GC CAN be used Online at www.nathabit.in Multiple Gift Vouchers CAN be combined & added to th
Ikea,ikea,B,5,5,PAYTM UPI,1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000,Both,The GV/GC can be used online at https://www.ikea.com/in/en/ & at the listed stores. The GV/GC can be
FRIDO,frido,ON,14,14,PAYTM UPI,500 / 1000 / 2000 / 5000,Online,The GV/GC will be accepted on the website https://www.myfrido.com/.& https://mobility.myfrido.com. M
UniPin,unipin,ON,5,5,Credit Card,100 / 500,Online,Redeemable only on the UniPin India website and valid only within India. Requires BGMI installed on 
UniPin BGMI,unipin-bgmi,ON,5,5,Credit Card,75 / 1900 / 7500,Online,Redeemable only on the UniPin India website and valid only within India. Requires BGMI installed on 
Barbeque Nation Value Voucher,barbeque-nation-value-voucher,OFF,0,0,,,Offline,
Apparel Group,apparel-group,OFF,10,10,Credit Card,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gi
Soch,soch-apparels,B,8,8,PAYTM UPI,100 / 500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Both,GV/ e-Pay is ACCEPTED at all Listed Outlets. GV/ e-Pay CANNOT be used Online. GV/e-Pay CAN be clubbe
Femmella,femmella,ON,14,14,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,The GV/GC CAN be used Online at www.femmella.com Multiple Gift Vouchers CAN be combined & added to t
Vinci Botanicals,vinci-botanicals,ON,33,33,Credit Card,500 / 1000 / 2000,Online,The GV/e-Pay will be accepted only on the app or the website. Multiple GVs CAN be combined & added t
Adani Meet and Greet,adani-meet-and-greet,ON,5,5,PAYTM UPI,,Online,"GV/GC is valid at all 7 Adani airports: Mumbai, Ahmedabad, Lucknow, Thiruvananthapuram, Jaipur, Guwa"
Microsoft Xbox Game Pass Core,microsoft-xbox-game-pass-core,ON,0,0,,499 / 2249 / 3349,Online,Customers are not required to enter hyphens in the 25-digit GV/GC code; the system automatically ins
App Store Code,app-store-code,ON,0,0,,,Online,"Do not share your code with anyone you do not know. To redeem, simply click on the code above or vis"
Tanishq Gold Coin,tanishq-gold-coin,OFF,1,1,PAYTM UPI,5000,Offline,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be clubbed with on-going promotion
Typsy Beauty,typsy-beauty,ON,18,18,Credit Card,250 / 500 / 750 / 1000 / 2000,Online,The GV/GC CAN be used Online at typsybeauty.com Multiple Gift Vouchers CAN be combined & added to th
Pure Home + Living,pure-home-living,B,10,10,PAYTM UPI,250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Both,
Reliance Smart Bazaar,reliance-smart-bazaar,OFF,2,2,PAYTM UPI,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 9999,Offline,Gift Vouchers CAN be used to buy discounted products. This is a one-time use GV/GC. Multiple Gift Vo
Nestasia,nestasia,OFF,13,13,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000,Offline,Gift Voucher/e-pay is ACCEPTED only at Listed Outlets. Gift Vouchers/e-pay CANNOT be used Online. Gi
Blissclub,blissclub,B,16,16,PAYTM UPI,1000 / 2000 / 5000 / 100-10000 (custom),Both,The GV/GC CAN be used Online at www.blissclub.com & at listed stores Multiple Gift Vouchers CAN be c
Sony Playstation,sony-playstation,ON,0,0,,,Online,The GV/GC can be redeemed only on the PlayStation Store on your console or via the website. Redempti
Yatra Voucher,yatra-voucher,ON,0,0,,500 / 1000 / 1500 / 2000,Online,The GV/GC can be redeemed only at www.yatra.com. GV/GC is valid for 2 months from the date of issue.
Speedo,speedo,ON,13,13,PAYTM UPI,100 / 250 / 500 / 1000 / 2000 / 100-10000 (custom),Online,GV/GC CAN Only be used at www.speedo.com GV/GC CAN be clubbed with on-going promotions/offers. Maxim
ShemarooMe,shemaroome,ON,30,30,PAYTM UPI,299 / 699 / 999,Online,The GV/GC would be accepted on the ShemarooMe Android App and at www.shemaroome.com A single GV/GC c
Taj Hotels J Wellness Circle,taj-wellness-gift-card,OFF,11,11,PAYTM UPI,6000 / 12000,Offline,"The GV/GC can only be redeemed at the participating J Wellness Circle Spas across Taj, SeleQtions, a"
MS Xbox Game Pass Ultimate,ms-xbox-game-pass-ultimate,ON,0,0,,1089 / 3269,Online,Customers are not required to enter hyphens in the 25-digit GV/GC code; the system automatically ins
Microsoft Xbox PC Game Pass,microsoft-xbox-pc-game-pass,ON,0,0,,,Online,Customers are not required to enter hyphens in the 25-digit GV/GC code; the system automatically ins
Ajio Luxe,ajio-luxe,ON,3,3,PAYTM UPI,5000 / 10000,Online,Gift Voucher/Gift Card (GV/GC) can be used online on the Mobile App and the Website. This is a one-t
Tinder,tinder,ON,7,7,PAYTM UPI,160 / 280 / 420 / 585 / 740 / 930 / 999,Online,Gift Vouchers (GV/GC) cannot be blocked once issued. Create your Tinder profile on the mobile app fi
Manyavar,manyavar,OFF,0,0,,1000 / 2500 / 5000 / 7500 / 10000 / 100-10000 (custom),Offline,GV/ e-Pay is ACCEPTED at all Listed Outlets. GV/ e-Pay CANNOT be used Online. GV/e-Pay CAN will not 
French Accent,french-accent,ON,0,0,,500 / 1000 / 2000,Online,The GV/GC will be used online at French Accent website. Multiple GV/GCs can be combined and added to
Haute Sauce,haute-sauce,ON,0,0,,500 / 1000 / 2000,Online,The GV/GC will be used online at Haute Sauce website. Multiple GV/GCs can be combined and added to t
Instafab Plus,instafab-plus,ON,0,0,,500 / 1000 / 2000,Online,The GV/GC will be used online at Instafab Plus website. Multiple GV/GCs can be combined and added to
Urban Space,urban-space,ON,8,8,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.urbanspacestore.in Multiple Gift Vouchers CAN be combined & a
Mobile Postpaid - Bill Payment,mobile-postpaid-bill-payment,OFF,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Offline,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/mobile-postpaid GV
Landline Bill Payment,landline-bill-payment,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/landline-postpaid 
Gas Bill Payment,gas-bill-payment,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/lpg-gas GV/e-Pay i
Mobile Prepaid - Recharge,mobile-prepaid-recharge,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/mobile-prepaid GV/
Water Bill Payment,water-bill-payment,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/water-bill GV/e-Pa
Electricity Bill Payment,electricity-bill-payment,ON,0,0,,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/electricity GV/e-P
Himalaya Wellness,himalaya-wellness,OFF,14,14,PAYTM UPI,100 / 500 / 1000 / 2000 / 100-10000 (custom),Offline,GV/e-Pay is ACCEPTED at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multip
Liberty Online,liberty-online,ON,9,9,PAYTM UPI,250 / 500 / 1000 / 2000 / 5000,Online,The GV/e-Pay CAN be used Online at www.libertyshoesonline.com Multiple Gift Vouchers CAN be combined
Liberty,liberty,OFF,8,8,Credit Card,250 / 500 / 1000 / 2000 / 5000,Offline,GV/e-Pay is ACCEPTED at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multip
CHARLES TYRWHITT- Luxe Gift Card,charles-tyrwitt,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
MAJE- Luxe Gift Card,maje,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
PAUL SHARK- Luxe Gift Card,paul-and-shark,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Sandro-Luxe Gift Card,sandro,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
SUPERDRY SPORT- Luxe Gift Card,superdry-sport,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
The White Crow-Luxe Gift Card,the-white-crow,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
BOTTEGA VENETA- Luxe Gift Card,bottega-veneta,OFF,10,10,Credit Card,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 pa
JIMMY CHOO- Luxe Gift Card,jimmy-choo,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
TORY BURCH- Luxe Gift Card,tory-burch,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
VALENTINO- Luxe Gift Card,valentino,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
VERSACE- Luxe Gift Card,versace,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
H BY HAMLEYS- Luxe Gift Card,h-by-hamleys,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
ROWAN- Luxe Gift Card,rowan,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
MUJI- Luxe Gift Card,muji,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
VILLEROY AND BOCH- Luxe Gift Card,villeroy-and-boch,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
WEST ELM- Luxe Gift Card,west-elm,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
TODS- Luxe Gift Card,tods,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
RITU KUMAR- Luxe Gift Card,ritu-kumar,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Abraham & Thakore- Luxe Gift Card,abraham-and-thakore,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Gift Vouchers are ACCEPTED at Listed Abraham & Thakore Outlets. Gift Vouchers CANNOT be used on the 
FERRAGAMO- Luxe Gift Card,ferragamo,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
TUMI- Luxe Gift Card,tumi,B,0,0,,1000 / 2000 / 5000 / 10000,Both,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Sunglass Hut- Luxe Gift Card,sunglass-hut,OFF,0,0,,1000 / 2000 / 5000 / 10000,Offline,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ p
Me N Moms,me-n-moms,ON,11,11,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,The GV/e-Pay CAN only be used Online at www.menmoms.in The GV/GC cannot be used at the offline store
Neemans,neemans,ON,10,10,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,The GV/GC can only be redeemed on their official website: neemans.com . The GV/GC can be used over a
Absolute Barbeque,absolute-barbeque,OFF,10,10,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,Gift Vouchers/e-Pay are ACCEPTED at Listed Outlets only. Gift Vouchers/e-Pay CANNOT be used Online G
Klook,klook,ON,8,8,PAYTM UPI,1000 / 2000 / 5000 / 7500,Online,The GV/GC will be used on the app or website at www.klook.com . This is a one-time use GV/GC. Only o
Roblox,roblox,ON,6,6,PAYTM UPI,,Online,Redeem only at www.roblox.com for Roblox credits to buy Robux or a Premium Subscription. By using th
Subway,subway,OFF,7,7,PAYTM UPI,100 / 250 / 500 / 750 / 1000,Offline,The GV/GC will be used at the listed stores. The GV/GC can be used over and above any discounts. Mul
Citizen Watches,citizen-watches,ON,14,14,PAYTM UPI,500 / 1000 / 2000 / 5000 / 10000 / 100-10000 (custom),Online,The GV/GC can only be redeemed on their official website: https://www.citizenwatches.store/ . The GV
Tim Hortons,tim-hortons,OFF,8,8,PAYTM UPI,500 / 1000,Offline,GV/e-Pay will be accepted at participating Tim Hortons outlets. Multiple Gift Vouchers CAN be combin
Nua Woman,nua-woman,ON,27,27,PAYTM UPI,500 / 1000 / 2000 / 100-10000 (custom),Online,The GV/GC can only be redeemed on their official website: https://nuawoman.com/ The GV/GC can be use
Kimirica,kimirica,ON,17,17,PAYTM UPI,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,The GV/GC will be accepted on the website: www.kimirica.shop . The GV/GC can be used over and above 
FlixBus,flixbus,ON,13,13,PAYTM UPI,250 / 1000 / 2000,Online,The GV/GC will be accepted on the website: https://www.FlixBus.in/ &amp; app. The GV/GC cannot be cl
CLAYCO,clayco,ON,22,22,PAYTM UPI,500 / 1000 / 2000,Online,The GV/GC will be accepted on the website: clayco.in . GV/e-Pay can be clubbed with existing offers.
APOLLO DIAGNOSTICS,apollo-diagnostics,ON,0,0,,500 / 1000 / 2000 / 5000,Online,The GV/GC is redeemable only on the mobile app & not on the website. This is a one-time use GV/GC an
